"","scientificName","eventDate","author","provenance","url","geometry"
"62","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-161807.371376823, -175794.453843031)
"63","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(200321.555910359, 181852.774216296)
"64","Carcinus maenas","2008-06-25","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(91897.0354608452, 38447.1070536435)
"65","Carcinus maenas","2005-07-26","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(76203.7606960495, 121008.485795009)
"66","Botrylloides violaceus","2018-10-01","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(-9139.23477341595, 94269.1035989462)
"67","Botryllus schlosseri",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(181825.714793529, 91531.1797825549)
"68","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(153745.796264558, 127802.868978607)
"69","Ciona intestinalis",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-161807.371376823, -175794.453843031)
"70","Carcinus maenas","2011-07-27","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(35863.0333613586, 41165.5171089663)
"71","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(43135.2128032523, 98014.7307270608)
"72","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(76056.584565773, 120736.039580376)
"73","Botrylloides violaceus",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(159566.58867451, 149497.280265741)
"74","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-95569.1475755543, -101508.931909663)
"75","Carcinus maenas",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-231957.33449587, -169163.028971031)
"76","Codium fragile subsp. fragile",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-57657.5764003878, 95109.7406996214)
"77","Styela clava",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(42072.6981368768, 81027.5708797658)
"78","Carcinus maenas","2014-05-20","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(75957.14391348, 120816.399205694)
"79","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-232417.981923482, -172255.18430615)
"80","Carcinus maenas","2011-09-19","Gulf Fisheries Centre","OBIS","https://obis.org/dataset/5a9dda0b-bb6f-4f28-ad68-f43c1f3d330c",c(75804.3877860773, 121249.880794227)
"81","Caprella mutica",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(63387.1068943116, 117111.359563833)
"82","Botrylloides violaceus","2018-10-01","GFC","OBIS","https://obis.org/dataset/b3e37be8-62ed-49c6-b171-444e83731e57",c(-9133.82994903791, 94267.984415226)
"83","Membranipora membranacea",NA,"Fisheries and Oceans Canada (ISDM)","OBIS","https://obis.org/dataset/139db389-055f-477b-a743-1ca1fd01c092",c(-238107.996715834, -172917.1588771)
