,river,g,mean_priority,metric,value,norm,score,goal
844,BARRINGTON_CLYDE,39,0.375132638,NSParksproportion,13,44.82758621,44.82758621,NSParksproportion
845,BARRINGTON_CLYDE,39,0.375132638,salmon_stat_avg,0,0,0,salmon_stat_avg
846,BARRINGTON_CLYDE,39,0.375132638,habitat_suitability_avg,0.049315024,3.638384873,3.638384873,habitat_suitability_avg
847,BARRINGTON_CLYDE,39,0.375132638,road_desnity_avg,0.914561622,6.300001538,6.300001538,road_desnity_avg
848,BARRINGTON_CLYDE,39,0.375132638,Temp_Vel_avg,4.35113107,9.581928155,9.581928155,Temp_Vel_avg
849,BARRINGTON_CLYDE,39,0.375132638,X_stream_avg,0.158307434,3.787882212,3.787882212,X_stream_avg
850,BARRINGTON_CLYDE,39,0.375132638,AqBarrier_avg,0.010013108,1.856811729,1.856811729,AqBarrier_avg
851,BARRINGTON_CLYDE,39,0.375132638,urban_land_avg,3.425839101,7.824236203,7.824236203,urban_land_avg
852,BARRINGTON_CLYDE,39,0.375132638,clear_cut_avg,0.889332366,3.645684671,3.645684671,clear_cut_avg
853,BARRINGTON_CLYDE,39,0.375132638,agri_avg,0.211911182,0.520046385,0.520046385,agri_avg
854,BARRINGTON_CLYDE,39,0.375132638,Impv_avg,0.09147366,1.556058158,1.556058158,Impv_avg
855,BARRINGTON_CLYDE,39,0.375132638,N_Leach_avg,0,0,0,N_Leach_avg
856,BARRINGTON_CLYDE,39,0.375132638,P_Leach_avg,0,0,0,P_Leach_avg
857,BARRINGTON_CLYDE,39,0.375132638,pesticide_avg,0,0,0,pesticide_avg
858,BARRINGTON_CLYDE,39,0.375132638,pollution_avg,0,0,0,pollution_avg
727,SISSIBOO_BEAR,34,0.375699273,SARproportion,0,0,0,SARproportion
728,SISSIBOO_BEAR,34,0.375699273,detections,2,16.66666667,16.66666667,detections
729,SISSIBOO_BEAR,34,0.375699273,BoatLaunch,1,50,50,BoatLaunch
730,SISSIBOO_BEAR,34,0.375699273,EBSAproportion,1,20,20,EBSAproportion
731,SISSIBOO_BEAR,34,0.375699273,NSResproportion,1,20,20,NSResproportion
732,SISSIBOO_BEAR,34,0.375699273,nativeFish,12,57.14285714,57.14285714,nativeFish
733,SISSIBOO_BEAR,34,0.375699273,RecFishproportion,2,25,25,RecFishproportion
734,SISSIBOO_BEAR,34,0.375699273,NSParksproportion,5,17.24137931,17.24137931,NSParksproportion
735,SISSIBOO_BEAR,34,0.375699273,salmon_stat_avg,0,0,0,salmon_stat_avg
736,SISSIBOO_BEAR,34,0.375699273,habitat_suitability_avg,0.532455216,52.98170331,52.98170331,habitat_suitability_avg
737,SISSIBOO_BEAR,34,0.375699273,road_desnity_avg,1.889044807,43.60198807,43.60198807,road_desnity_avg
738,SISSIBOO_BEAR,34,0.375699273,Temp_Vel_avg,45.40976513,100,100,Temp_Vel_avg
739,SISSIBOO_BEAR,34,0.375699273,X_stream_avg,0.457359452,34.17528648,34.17528648,X_stream_avg
740,SISSIBOO_BEAR,34,0.375699273,AqBarrier_avg,0.057033266,10.57614053,10.57614053,AqBarrier_avg
741,SISSIBOO_BEAR,34,0.375699273,urban_land_avg,6.85729295,25.32152903,25.32152903,urban_land_avg
742,SISSIBOO_BEAR,34,0.375699273,clear_cut_avg,4.578449102,29.50947553,29.50947553,clear_cut_avg
743,SISSIBOO_BEAR,34,0.375699273,agri_avg,3.434351583,10.14081392,10.14081392,agri_avg
744,SISSIBOO_BEAR,34,0.375699273,Impv_avg,0.108508447,2.004917692,2.004917692,Impv_avg
745,SISSIBOO_BEAR,34,0.375699273,N_Leach_avg,5.030436675,15.00481114,15.00481114,N_Leach_avg
746,SISSIBOO_BEAR,34,0.375699273,P_Leach_avg,0.005954504,1.147454004,1.147454004,P_Leach_avg
747,SISSIBOO_BEAR,34,0.375699273,pesticide_avg,0,0,0,pesticide_avg
748,SISSIBOO_BEAR,34,0.375699273,pollution_avg,0,0,0,pollution_avg
463,GASPEREAU,22,0.393983533,SARproportion,0.195743449,19.6473916,19.6473916,SARproportion
464,GASPEREAU,22,0.393983533,detections,6,50,50,detections
465,GASPEREAU,22,0.393983533,BoatLaunch,0,0,0,BoatLaunch
466,GASPEREAU,22,0.393983533,EBSAproportion,1,20,20,EBSAproportion
467,GASPEREAU,22,0.393983533,NSResproportion,2,40,40,NSResproportion
468,GASPEREAU,22,0.393983533,nativeFish,12,57.14285714,57.14285714,nativeFish
